No.,Author,Comment
0,chien hoang,ý thuyết là thế ! Thực tế là 1 câu chuyện khác nhé
1,Don Qzx,"ông chức chỉ cần đọc hiểu các quy định của pháp luật chứ không cần trình độ thạc sĩ, tiến sĩ nhưng bắt buộc phải có tinh thần và thái độ phục vụ bởi vì việc của họ là làm theo quy định chứ không cần phải nghiên cứu, sáng tạo gì cả. Không biết đến bao giờ thì nước ta mới hiểu điều này và áp dụng triệt để trong tuyển dụng công chức."
2,Antony,ể công chức vô tư phụng sự người dân thì lương công chức phải đủ sống ở mức trung bình khá của xã hội. Còn lương thuộc chuẩn nghèo thì khó lắm vì họ còn phải làm hai ba nghề để nuôi sống bản thân và gia đình nữa
3,Dìgnity,hân lực ngang bằng về trình độ môi trường đào tạo từ các nước phát triển là chìa khoá duy nhất cạnh tranh với các nước trên TG.
4,Phu Van,"hỉ cần hệ thống hành chính làm đúng như trách nhiệm quy định cho người thừa hành là đã vui rồi, còn nói tới phụng sự thì xa vời quá!"
5,WinWin App,"ình vẫn không hiểu vấn đề là gì mà nhập cảnh VN cực kỳ khó khăn, trong khi an ninh xã hội mình có thể gọi là an toàn hạng top. Nhập cảnh vừa ngắn vừa khó khăn thì thôi đã mất vé sang tay các nước bên cạnh - họ canh tranh nhau dữ lắm, mình chỉ biết đứng nhìn thôi."
6,baoduong5555," Sài Gòn tùy ý vào 1 quán ăn giá trên 100k/món bạn sẽ dễ thấy sự phục vụ nhiệt tình và hài lòng của các nhân viên không bằng cấp đại học, so sánh với các nhân viên nhà nước lý do rút ra được là gì?"
7,Minh Cao Duc,"q tôi ở HN cũng có bộ phận một cửa, mọi người phụng sự khá vô tư, nhưng thu nhập bình quân khoảng 4tr vnd."
8,viethungdhh,"ọ bằng cấp ngày càng cao, nhưng trình độ và thái độ thì ngược lại"
9,tinhmv1973,"ôi đã già và trải nghiệm qua nhiều môi trường làm việc. Nhìn đi nhìn lại thấy mô hình quản trị các Cty Cổ phần trong nước, Công ty Đa quốc gia là hay nhất. Tuyển dụng- Bổ nhiệm- Đào tạo phát triển- Đánh giá hiệu quả công việc qua những công cụ quản lý S.M.A.R.T- Xây dựng và đổi mới Quy trình v...vv... cực hay và khoa học"
10,Minh,"ách đây chừng 3, 4 năm, tôi thấy các cơ quan hành chính ở TPHCM rất linh động như các ví dụ trong bài. Có những lúc thiếu 1 số giấy tờ không quan trọng thì các anh vẫn cho nộp hồ sơ và dặn bổ sung sau.

Năm nay tui thấy họ lại cứng nhắc, bởi lẽ thời nay ""linh động"" rất dễ bị dính tội làm trái, nhẹ thì mất thi đua, nặng thì vô lò."
11,Sea swallow,"ôi muốn phụng sự vô tư thì bị cho là lập dị, thậm chí nhiều lúc còn bị chính đồng nghiệp của mình ""lợi dụng"" sự vô tư đó"
12,WinWin App,"húng ta lao động trước hết là có thu nhập nhằm bảo đảm cuộc sống và tồn tại, và qua đó mà đóng góp cho xã hội. Nên tôi cho rằng phục sự vô tư thì không thể vững mạnh - khó hiện thực trong cuộc sống hiện tại.
Người bác sĩ chống dịch nhưng rồi họ nhảy ra bệnh viện tư vì thu nhập không thể giúp họ cải thiện đời sống. Thầy cô giáo không thể toàn tâm lo cho sự nghiệp trồng người mà phải buôn thêm cái này, bán thêm cái kia. Còn nhiều ví dụ mà chúng ta nói về phụng sự vô tư này."
13,nguyencuong,"iờ mới biết nước ta cho phép 2 quốc tịch,còn Đức thì ko cho công dân mình có 2 quốc tịch."
14,Nguyễn Hữu Minh,"ông chức không thể tận hiến trong một môi trường còn đầy rẫy những bất công: đánh giá, đề bạt, bổ nhiệm cán bộ không dựa trên kết quả công việc, năng lực, đạo đức, sự tận tâm mà vẫn còn dựa vào hậu duệ, quan hệ, tiền tệ."
15,pd3455149,"ƯƠNG THẤP + KỸ LUẬT KHÔNG NGHIÊM + TRÌNH ĐỘ HẠN CHẾ. TẤT CẢ DẪN ĐẾN MỘT HỆ THỐNG CÔNG CHỨC LÀM THÌ ÍT , ĂN NHẬU THÌ NHIỀU , TÌM MỌI CÁCH NHỮNG NHIỄU THAM NHŨNG ĐÃ KHÔNG GIÚP GÌ ĐƯỢC CHO DOANH NGHIỆP VÀ NGƯỜI DÂN MÀ CÒN GÂY CẢN TRỞ KHÓ KHĂN CHO HỌ."
16,Bánh Mì Chả Cá,"ây giờ công chức mới vào lương 2,34 tính ra chưa được 6tr5 1 tháng thì bạn tính xem có đủ nuôi sống bản thân và phụ giúp gia đình không? Giảm trừ bản thân 11tr 1 tháng mà lương chưa tới được cái số đó, cán bộ công chức cũng mệt lắm chứ"
17,ngoclam041960,"ài viết hay rất cần đọc và ngậm nghĩ.
Tks"
18,Phạm Minh,"i vọng nhà nước có chính sách nâng lương cho công chức, viên chức, chứ với mức lương sống mòn họ phải gồng mình lắm để làm tốt công việc của mình, và lương cao sẽ giảm đáng kể tham nhũng. Ngoài nâng lương cần công khai, minh bạch thu nhập của công chức, viên chức"
